"","variety","winery","region_1","region_2","province","designation","country"
"1243","Chardonnay","Domaines Barons de Rothschild (Lafite)","","","Colchagua Valley","Los Vascos","Chile"
"1244","Riesling","Fetzer","California","California Other","California","Valley Oaks","US"
"1245","Sauvignon Blanc","Barker's Marque","","","Marlborough","Arona","New Zealand"
"1246","Bordeaux-style Red Blend","Bock","","","Villány","Cuvée Barrique","Hungary"
"1247","Pinot Noir","Carneros Creek","Carneros","Napa-Sonoma","California","Reserve","US"
"1248","Sagrantino","Casale Triocco","Sagrantino di Montefalco","","Central Italy","","Italy"
"1249","Sangiovese","Castello di Monastero","Toscana","","Tuscany","","Italy"
"1250","Pinot Noir","Konrad","","","Marlborough","","New Zealand"
"1251","Pinot Noir","Mana","","","Marlborough","","New Zealand"
"1252","Chardonnay","Michel Torino","Calchaquí Valley","","Other","Coleccion","Argentina"
"1253","Bordeaux-style Red Blend","Rubissow","Mount Veeder","Napa","California","Trompettes","US"
"1254","Chardonnay","Santa Julia","Mendoza","","Mendoza Province","Organica","Argentina"
"1255","Pinot Grigio","Ronco Blanchis","Collio","","Northeastern Italy","","Italy"
"1256","Fiano","Planeta","Sicilia","","Sicily & Sardinia","Cometa","Italy"
"1257","Pinot Noir","Sequana","Santa Lucia Highlands","Central Coast","California","","US"
"1258","Pinot Noir","Small Vines","Russian River Valley","Sonoma","California","Baranoff Vineyard","US"
"1259","Riesling","Bründlmayer","","","Kamptal","Steinmassel Erste Lage","Austria"
"1260","Tannat","Château d'Aydie","Madiran","","Southwest France","Madiran Laplace","France"
"1261","Malbec","Château de Gaudou","Cahors","","Southwest France","Réserve Caillou","France"
"1262","Gamay","Château des Jacques","Moulin-à-Vent","","Beaujolais","Clos de Rochegrès","France"
"1263","Merlot","Happy Canyon Vineyard","Santa Ynez Valley","Central Coast","California","Barrack Brand","US"
"1264","Red Blend","Palari","Faro","","Sicily & Sardinia","","Italy"
"1265","Gamay","Pascal Aufranc","Chénas","","Beaujolais","Vignes de 1939","France"
"1266","Cabernet Sauvignon","Charles Krug","Napa Valley","Napa","California","Vintage Selection","US"
"1267","Bordeaux-style Red Blend","Château Blaignan","Médoc","","Bordeaux","","France"
"1268","Petit Manseng","Domaine Bru-Baché","Jurançon","","Southwest France","La Quintessence","France"
"1269","Red Blend","Lagar de Bezana","","","Cachapoal Valley","Aluvion Gran Reserva Ensamblaje","Chile"
"1270","Nero d'Avola","Morgante","Sicilia","","Sicily & Sardinia","Don Antonio","Italy"
"1271","Red Blend","Santa Carolina","","","Cachapoal Valley","VSC","Chile"
"1272","Cabernet Sauvignon","Steven Kent","Livermore Valley","Central Coast","California","The Premier","US"
"1273","Rosé","Hauner","Terre Siciliane","","Sicily & Sardinia","Hierà","Italy"
"1274","Portuguese White","Herdade do Esporão","","","Alentejano","Defesa Branco","Portugal"
"1275","Chardonnay","Jean León","Penedès","","Catalonia","3055","Spain"
"1276","Red Blend","Bodegas Luzón","Jumilla","","Levante","Luzón","Spain"
"1277","Tempranillo","Volver","La Mancha","","Central Spain","Single Vineyard","Spain"
"1278","Rosé","Cellars 33","California","California Other","California","","US"
"1279","Chenin Blanc","Château de Chaintres","Saumur","","Loire Valley","Clos des Oratoriens","France"
"1280","Bordeaux-style White Blend","Château de la Vieille Tour","Bordeaux Blanc","","Bordeaux","","France"
"1281","Bordeaux-style White Blend","Château la France","Bordeaux Blanc","","Bordeaux","","France"
"1282","Rosé","Château Lalande Méric","Bordeaux Rosé","","Bordeaux","","France"
"1283","Rosé","Château Lauduc","Bordeaux Rosé","","Bordeaux","","France"
"1284","Red Blend","Clos de Nit","Montsant","","Catalonia","","Spain"
"1285","Rosé","DFJ Vinhos","","","Lisboa","Bigode","Portugal"
"1286","Sauvignon Blanc","Jidvei","","","Jidvei","Nec Plus Ultra Demisec","Romania"
"1287","Rosato","Orion Wines","Puglia","","Southern Italy","The Wanted Zin Blush","Italy"
"1288","Pansa Blanca","Raventós de Alella","Alella","","Catalonia","Tina 20","Spain"
"1289","Chardonnay","Rubus","","","Colchagua Valley","","Chile"
"1290","Portuguese Red","Sanguinhal","","","Lisboa","Cerejeiras Tinto","Portugal"
"1291","Rosato","Villa Cordevigo","Bardolino Chiaretto","","Veneto","Heaven Scent","Italy"
"1292","Rosato","Botromagno","Murgia","","Southern Italy","Rosé di Lulu","Italy"
"1293","Chardonnay","Bowman Cellars","Russian River Valley","Sonoma","California","","US"
"1294","Portuguese White","Quinta das Arcas","","","Vinho Verde","Arca Nova Branco","Portugal"
"1295","Cabernet Sauvignon","Quilceda Creek","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"1296","Bordeaux-style Red Blend","Château Margaux","Margaux","","Bordeaux","","France"
"1297","Bordeaux-style Red Blend","Château Palmer","Margaux","","Bordeaux","","France"
"1298","Bordeaux-style Red Blend","Pirouette","Columbia Valley (WA)","Columbia Valley","Washington","Red Wine","US"
"1299","Bordeaux-style Red Blend","Château Troplong Mondot","Saint-Émilion","","Bordeaux","","France"
"1300","Red Blend","Tenuta San Guido","Bolgheri Sassicaia","","Tuscany","Sassicaia","Italy"
"1301","Red Blend","Tenuta dell'Ornellaia","Bolgheri Superiore","","Tuscany","Ornellaia","Italy"
"1302","Bordeaux-style Red Blend","Château La Mission Haut-Brion","Pessac-Léognan","","Bordeaux","","France"
"1303","Bordeaux-style Red Blend","Château Figeac","Saint-Émilion","","Bordeaux","","France"
"1304","Bordeaux-style Red Blend","Château Léoville Poyferré","Saint-Julien","","Bordeaux","","France"
"1305","Red Blend","Tenuta Argentiera","Bolgheri Superiore","","Tuscany","Argentiera","Italy"
"1306","Bordeaux-style Red Blend","Château Haut-Brion","Pessac-Léognan","","Bordeaux","","France"
"1307","Bordeaux-style Red Blend","Château la Fleur-Pétrus","Pomerol","","Bordeaux","","France"
"1308","Bordeaux-style Red Blend","Château Lynch-Bages","Pauillac","","Bordeaux","","France"
"1309","Cabernet Sauvignon","Groth","Oakville","Napa","California","Reserve","US"
"1310","Bordeaux-style Red Blend","Château Mouton Rothschild","Pauillac","","Bordeaux","","France"
"1311","Bordeaux-style Red Blend","Château Trotanoy","Pomerol","","Bordeaux","","France"
"1312","Bordeaux-style Red Blend","Château Beau-Séjour Bécot","Saint-Émilion","","Bordeaux","","France"
"1313","Bordeaux-style Red Blend","Château Branaire-Ducru","Saint-Julien","","Bordeaux","","France"
"1314","Bordeaux-style Red Blend","Château Canon","Saint-Émilion","","Bordeaux","","France"
"1315","Bordeaux-style Red Blend","Château Canon la Gaffelière","Saint-Émilion","","Bordeaux","","France"
"1316","Syrah","Doyenne","Red Mountain","Columbia Valley","Washington","Grand Ciel Vineyard","US"
"1317","Chardonnay","Hanzell","Sonoma Valley","Sonoma","California","","US"
"1318","Syrah","Billsboro","Finger Lakes","Finger Lakes","New York","Sawmill Creek Vineyards","US"
"1319","Chardonnay","C'est Bon","Oakville","Napa","California","Reserve Selection","US"
"1320","Nero d'Avola","Ceuso","Terre Siciliane","","Sicily & Sardinia","Scurati","Italy"
"1321","Bordeaux-style Red Blend","Château Balac","Haut-Médoc","","Bordeaux","Cru Bourgeois","France"
"1322","Bordeaux-style Red Blend","Château des Annereaux","Lalande de Pomerol","","Bordeaux","","France"
"1323","Riesling","Château Frank","Finger Lakes","Finger Lakes","New York","Célèbre Crémant","US"
"1324","Bordeaux-style White Blend","Château Haut-Bergey","Pessac-Léognan","","Bordeaux","","France"
"1325","Sauvignon Blanc","Château Larrivet Haut-Brion","Pessac-Léognan","","Bordeaux","Les Hauts de Larrivet Haut-Brion","France"
"1326","Bordeaux-style White Blend","Château le Sartre","Pessac-Léognan","","Bordeaux","","France"
"1327","Bordeaux-style Red Blend","Château Mancèdre","Pessac-Léognan","","Bordeaux","","France"
"1328","Bordeaux-style Red Blend","Château Peyredon Lagravette","Haut-Médoc","","Bordeaux","","France"
"1329","Bordeaux-style Red Blend","Château Potensac","Médoc","","Bordeaux","Chapelle de Potensac","France"
"1330","Bordeaux-style Red Blend","Clos Beauregard","Pomerol","","Bordeaux","","France"
"1331","Pinot Noir","Dark Horse","California","California Other","California","The Original","US"
"1332","Chardonnay","Domaine Anderson","Anderson Valley","","California","Walraven Vineyard","US"
"1333","Riesling","Dowsett Family","Columbia Gorge (WA)","Washington Other","Washington","Aunt Diane's Vineyard","US"
"1334","Rosato","Feudo Antico","Sicilia","","Sicily & Sardinia","Memorie","Italy"
"1335","Cabernet Franc","Gamache","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"1336","Riesling","Paumanok","North Fork of Long Island","Long Island","New York","Semi Dry","US"
"1337","Chardonnay","Broken Clouds","Sonoma Coast","Sonoma","California","","US"
"1338","Chardonnay","Browne Family Vineyards","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"1339","Albariño","Castillo De Feliciana","Walla Walla Valley (WA)","Columbia Valley","Washington","Estate Vineyard","US"
"1340","Bordeaux-style Red Blend","Château Amour","Médoc","","Bordeaux","","France"
"1341","Bordeaux-style White Blend","Château de Cruzeau","Pessac-Léognan","","Bordeaux","","France"
"1342","Bordeaux-style Red Blend","Château de Paillet-Quancard","Cadillac Côtes de Bordeaux","","Bordeaux","","France"
"1343","Sauvignon Blanc","Château de Rochemorin","Pessac-Léognan","","Bordeaux","","France"
"1344","White Blend","Gabriel Meffre","Vin de France","","France Other","La Châsse Sauvignon-Colombard","France"
"1345","Rosé","Alta Vista","Mendoza","","Mendoza Province","Malbec","Argentina"
"1346","Torrontés","Aymara","Maipú","","Mendoza Province","Estate","Argentina"
"1347","Sauvignon Blanc","Paul Buisse","Touraine","","Loire Valley","","France"
"1348","Pinot Noir","Saget la Perrière","Vin de France","","France Other","La Petite Perrière","France"
"1349","White Blend","The Williamsburg Winery","Virginia","","Virginia","A Midsummer Night's White","US"
"1350","Malbec","Valentin Bianchi","Mendoza","","Mendoza Province","Sensual","Argentina"
"1351","Chardonnay","Gruet","","","America","Blanc de Blancs","US"
"1352","Sauvignon Blanc","Jean-Max Roger","Menetou-Salon","","Loire Valley","Le Charnay","France"
"1353","Portuguese Red","Magnum Vinhos","","","Alentejano","Flor de Maio Mayflower","Portugal"
"1354","Muskat Ottonel","Blue Valley","Middleburg","","Virginia","","US"
"1355","Merlot","Vinadeis","Vin de France","","France Other","Le Val","France"
"1356","Pinot Noir","Gnarly Head","California","California Other","California","","US"
"1357","Chardonnay","Ca' Momi","Napa Valley","Napa","California","","US"
"1358","Pinot Noir","Domaine de Reuilly","Reuilly","","Loire Valley","","France"
"1359","Portuguese Red","Enoport","","","Douro","Topázio Reserva","Portugal"
"1360","Red Blend","Tie-Dye","North Coast","North Coast","California","","US"
"1361","Nebbiolo","Il Chiosso","Gattinara","","Piedmont","","Italy"
"1362","Chardonnay","Grayson","California","California Other","California","Lot 11","US"
"1363","Cabernet Sauvignon","Leaping Lizard","California","California Other","California","","US"
"1364","Red Blend","Portal del Montsant","Montsant","","Catalonia","Bruberry","Spain"
"1365","Red Blend","Decoy","Sonoma County","Sonoma","California","","US"
"1366","Sauvignon Blanc-Semillon","Xanadu","Margaret River","","Western Australia","Exmoor","Australia"
"1367","Rosé","Adega Mãe","","","Lisboa","Pinta Negra","Portugal"
"1368","Merlot","Aniello","Patagonia","","Other","006 Riverside Estate","Argentina"
"1369","Pinot Gris","Oak Knoll","Willamette Valley","Willamette Valley","Oregon","Cloud Rest Vineyard","US"
"1370","Portuguese Red","Parras Wines","","","Lisboa","Mula Velha Reserva","Portugal"
"1371","Bordeaux-style Red Blend","Château Lanscade","Bordeaux","","Bordeaux","","France"
"1372","Bordeaux-style Red Blend","Château Troupian","Haut-Médoc","","Bordeaux","","France"
"1373","Claret","Cliff Creek","Southern Oregon","Southern Oregon","Oregon","Sams Valley Vineyard","US"
"1374","Claret","Del Rio","Rogue Valley","Southern Oregon","Oregon","","US"
"1375","Cabernet Sauvignon","Delfino","Umpqua Valley","Southern Oregon","Oregon","","US"
"1376","Montepulciano","Gru","Montepulciano d'Abruzzo","","Central Italy","","Italy"
"1377","Chardonnay","First & Local","California","California Other","California","","US"
"1378","White Blend","Amalaya","Salta","","Other","Esperanza Por Un Milagro","Argentina"
"1379","Semillon-Sauvignon Blanc","Half Mile Creek","South Eastern Australia","","Australia Other","","Australia"
"1380","Cabernet Sauvignon","California Republic","California","California Other","California","","US"
"1381","Montepulciano","Cantina Valle Tritana","Montepulciano d'Abruzzo","","Central Italy","Capostrano","Italy"
"1382","Bordeaux-style Red Blend","Château Doms","Graves","","Bordeaux","","France"
"1383","Bordeaux-style Red Blend","Château Pindefleurs","Saint-Émilion","","Bordeaux","","France"
"1384","Rhône-style White Blend","Réserve des Oliviers","Châteauneuf-du-Pape","","Rhône Valley","","France"
"1385","Syrah","Tardieu-Laurent","Hermitage","","Rhône Valley","","France"
"1386","Red Blend","Sant Agnese dei F.lli Gigli","Toscana","","Tuscany","Libatio","Italy"
"1387","Pinot Noir","Bonaccorsi","Santa Maria Valley","Central Coast","California","Julia's Vineyard","US"
"1388","Chardonnay","Chanin","Santa Maria Valley","Central Coast","California","Bien Nacido Vineyard","US"
"1389","Malbec","Doña Silvina","Mendoza","","Mendoza Province","","Argentina"
"1390","Austrian Red Blend","Dürnberg","","","Niederösterreich","Impetus Select","Austria"
"1391","Sangiovese Grosso","Il Veltro","Brunello di Montalcino","","Tuscany","","Italy"
"1392","Pinot Gris","Lange","Willamette Valley","Willamette Valley","Oregon","","US"
"1393","Grüner Veltliner","Markus Huber","","","Traisental","","Austria"
"1394","Red Blend","Massi di Mandorlaia","Maremma","","Tuscany","Colpetroso","Italy"
"1395","Sauvignon Blanc","Melrose","Umpqua Valley","Southern Oregon","Oregon","","US"
"1396","Syrah","Pieve Vecchia","Maremma","","Tuscany","Pieve dei Monaci","Italy"
"1397","Grenache Blanc","Tessa Marie","Santa Barbara County","Central Coast","California","","US"
"1398","Grüner Veltliner","Türk","","","Niederösterreich","Eiswein 375ml","Austria"
"1399","Cabernet Sauvignon","Ugly Duckling","California","California Other","California","","US"
"1400","Malbec","Finca Vides","Mendoza","","Mendoza Province","Torcidas","Argentina"
"1401","Merlot","Petra","Toscana","","Tuscany","Quercegobbe","Italy"
"1402","Chardonnay","Recanati","","","Galilee","Kosher","Israel"
"1403","Syrah","Terralsole","Toscana","","Tuscany","Solista","Italy"
"1404","Bical","Caves Aliança","","","Bairrada","Galeria","Portugal"
"1405","Sauvignon","Bodegas Cerrosol","Rueda","","Northern Spain","Doña Beatriz","Spain"
"1406","Chardonnay","Prejean","Finger Lakes","Finger Lakes","New York","","US"
"1407","Cabernet Sauvignon","Kadesh Barnea","","","Negev Hills","Estate Bottled Reserve Kosher","Israel"
"1408","Sangiovese","Antonino Tringali-Casanuova","Toscana","","Tuscany","Patrimonio","Italy"
"1409","Chardonnay","Tyrrell's","South Eastern Australia","","Australia Other","Lost Block","Australia"
"1410","Chardonnay","Vasse River","Margaret River","","Western Australia","","Australia"
"1411","Verdejo","Vega de la Reina","Rueda","","Northern Spain","","Spain"
"1412","Red Blend","Villa Vignamaggio","Toscana","","Tuscany","Wine Obsession I Miti","Italy"
"1413","Viognier","Vinum Cellars","San Benito County","Central Coast","California","Vista Verde Vineyard","US"
"1414","Verdejo","Analivia","Rueda","","Northern Spain","","Spain"
"1415","Shiraz-Viognier","Battle of Bosworth","McLaren Vale","","South Australia","","Australia"
"1416","Sangiovese Grosso","La Gerla","Toscana","","Tuscany","Birba","Italy"
"1417","Portuguese Red","Quinta do Grifo","","","Douro","Reserva","Portugal"
"1418","Chardonnay","St. Clement","Carneros","Napa-Sonoma","California","","US"
"1419","Touriga Nacional","Quinta da Alorna","","","Ribatejano","","Portugal"
"1420","Moscatel","Torres","Catalunya","","Catalonia","Viña Esmeralda","Spain"
"1421","Pinot Grigio","Renwood","Lodi","Central Valley","California","","US"
"1422","Verdejo","Tapeña","Vino de la Tierra de Castilla","","Central Spain","","Spain"
